image_filename,well_ID,treatment,hour,mean_area,plate_position
240305134144P2_02h42m07s_D3_1W.tif,D3,DU145_w_NKcells,2,4183.403614457831,3rd_row
240305134144P2_03h42m06s_D3_1W.tif,D3,DU145_w_NKcells,3,4434.021739130435,3rd_row
240305134144P2_04h42m08s_D3_1W.tif,D3,DU145_w_NKcells,4,4540.292307692308,3rd_row
240305134144P2_05h42m06s_D3_1W.tif,D3,DU145_w_NKcells,5,4342.779411764706,3rd_row
240305134144P2_06h42m08s_D3_1W.tif,D3,DU145_w_NKcells,6,4465.171641791045,3rd_row
240305134144P2_07h42m07s_D3_1W.tif,D3,DU145_w_NKcells,7,4475.405797101449,3rd_row
240305134144P2_08h42m07s_D3_1W.tif,D3,DU145_w_NKcells,8,4665.818181818182,3rd_row
240305134144P2_09h42m07s_D3_1W.tif,D3,DU145_w_NKcells,9,4211.897260273972,3rd_row
240305134144P2_10h42m06s_D3_1W.tif,D3,DU145_w_NKcells,10,4719.626865671642,3rd_row
240305134144P2_11h42m06s_D3_1W.tif,D3,DU145_w_NKcells,11,4786.895522388059,3rd_row
240305134144P2_12h42m06s_D3_1W.tif,D3,DU145_w_NKcells,12,4530.189189189189,3rd_row
240305134144P2_13h42m06s_D3_1W.tif,D3,DU145_w_NKcells,13,4733.595890410959,3rd_row
240305134144P2_14h42m07s_D3_1W.tif,D3,DU145_w_NKcells,14,5522.0615384615385,3rd_row
240305134144P2_15h46m27s_D3_1W.tif,D3,DU145_w_NKcells,15,6143.675,3rd_row
240305134144P2_16h46m26s_D3_1W.tif,D3,DU145_w_NKcells,16,7403.875,3rd_row
240305134144P2_17h46m27s_D3_1W.tif,D3,DU145_w_NKcells,17,8603.09375,3rd_row
240305134144P2_18h46m27s_D3_1W.tif,D3,DU145_w_NKcells,18,10152.452380952382,3rd_row
240305134144P2_19h46m27s_D3_1W.tif,D3,DU145_w_NKcells,19,14041.171875,3rd_row
240305134144P2_20h46m27s_D3_1W.tif,D3,DU145_w_NKcells,20,15376.015625,3rd_row
240305134144P2_21h46m30s_D3_1W.tif,D3,DU145_w_NKcells,21,21321.5,3rd_row
240305134144P2_22h46m35s_D3_1W.tif,D3,DU145_w_NKcells,22,24936.272727272728,3rd_row
240305134144P2_23h46m33s_D3_1W.tif,D3,DU145_w_NKcells,23,20022.73214285714,3rd_row
240305134144P2_24h46m29s_D3_1W.tif,D3,DU145_w_NKcells,24,32981.89473684211,3rd_row
240305134144P2_25h46m54s_D3_1W.tif,D3,DU145_w_NKcells,25,58560.22727272727,3rd_row
240305134144P2_26h46m32s_D3_1W.tif,D3,DU145_w_NKcells,26,42556.25,3rd_row
240305134144P2_01h45m25s_H1_1W.tif,H1,DU145_w_NKcells,1,3643.489130434784,corner
240305134144P2_02h42m07s_H1_1W.tif,H1,DU145_w_NKcells,2,3298.6222222222223,corner
240305134144P2_03h42m06s_H1_1W.tif,H1,DU145_w_NKcells,3,3389.9375,corner
240305134144P2_04h42m08s_H1_1W.tif,H1,DU145_w_NKcells,4,3365.448717948718,corner
240305134144P2_05h42m06s_H1_1W.tif,H1,DU145_w_NKcells,5,3652.542857142857,corner
240305134144P2_06h42m08s_H1_1W.tif,H1,DU145_w_NKcells,6,3514.375,corner
240305134144P2_07h42m07s_H1_1W.tif,H1,DU145_w_NKcells,7,3433.6973684210525,corner
240305134144P2_08h42m07s_H1_1W.tif,H1,DU145_w_NKcells,8,3341.948717948718,corner
240305134144P2_09h42m07s_H1_1W.tif,H1,DU145_w_NKcells,9,3126.0,corner
240305134144P2_10h42m06s_H1_1W.tif,H1,DU145_w_NKcells,10,2853.0729166666665,corner
240305134144P2_11h42m06s_H1_1W.tif,H1,DU145_w_NKcells,11,3113.633333333333,corner
240305134144P2_12h42m06s_H1_1W.tif,H1,DU145_w_NKcells,12,2904.734693877551,corner
240305134144P2_13h42m06s_H1_1W.tif,H1,DU145_w_NKcells,13,3105.4166666666665,corner
240305134144P2_14h42m07s_H1_1W.tif,H1,DU145_w_NKcells,14,3730.625,corner
240305134144P2_15h46m27s_H1_1W.tif,H1,DU145_w_NKcells,15,3716.4146341463415,corner
240305134144P2_16h46m26s_H1_1W.tif,H1,DU145_w_NKcells,16,3311.478260869565,corner
240305134144P2_17h46m27s_H1_1W.tif,H1,DU145_w_NKcells,17,3634.8953488372094,corner
240305134144P2_18h46m27s_H1_1W.tif,H1,DU145_w_NKcells,18,3808.6666666666665,corner
240305134144P2_19h46m27s_H1_1W.tif,H1,DU145_w_NKcells,19,4158.035714285715,corner
240305134144P2_20h46m27s_H1_1W.tif,H1,DU145_w_NKcells,20,4504.2,corner
240305134144P2_21h46m30s_H1_1W.tif,H1,DU145_w_NKcells,21,4804.261904761905,corner
240305134144P2_22h46m35s_H1_1W.tif,H1,DU145_w_NKcells,22,5701.444444444444,corner
240305134144P2_23h46m33s_H1_1W.tif,H1,DU145_w_NKcells,23,6138.9857142857145,corner
240305134144P2_24h46m29s_H1_1W.tif,H1,DU145_w_NKcells,24,8178.0,corner
240305134144P2_25h46m54s_H1_1W.tif,H1,DU145_w_NKcells,25,10417.478260869566,corner
240305134144P2_26h46m32s_H1_1W.tif,H1,DU145_w_NKcells,26,8356.59677419355,corner
240305134144P2_01h45m25s_H2_1W.tif,H2,DU145_w_NKcells,1,2245.6304347826085,outer_well
240305134144P2_02h42m07s_H2_1W.tif,H2,DU145_w_NKcells,2,2023.414893617021,outer_well
240305134144P2_03h42m06s_H2_1W.tif,H2,DU145_w_NKcells,3,2002.2558139534883,outer_well
240305134144P2_04h42m08s_H2_1W.tif,H2,DU145_w_NKcells,4,2039.309523809524,outer_well
240305134144P2_05h42m06s_H2_1W.tif,H2,DU145_w_NKcells,5,2118.730769230769,outer_well
240305134144P2_06h42m08s_H2_1W.tif,H2,DU145_w_NKcells,6,2457.323529411765,outer_well
240305134144P2_07h42m07s_H2_1W.tif,H2,DU145_w_NKcells,7,2341.097222222222,outer_well
240305134144P2_08h42m07s_H2_1W.tif,H2,DU145_w_NKcells,8,2303.6153846153848,outer_well
240305134144P2_09h42m07s_H2_1W.tif,H2,DU145_w_NKcells,9,2488.474358974359,outer_well
240305134144P2_10h42m06s_H2_1W.tif,H2,DU145_w_NKcells,10,2253.8977272727275,outer_well
240305134144P2_11h42m06s_H2_1W.tif,H2,DU145_w_NKcells,11,2201.322222222222,outer_well
240305134144P2_12h42m06s_H2_1W.tif,H2,DU145_w_NKcells,12,2109.695652173913,outer_well
240305134144P2_13h42m06s_H2_1W.tif,H2,DU145_w_NKcells,13,2309.678571428572,outer_well
240305134144P2_14h42m07s_H2_1W.tif,H2,DU145_w_NKcells,14,2346.559523809524,outer_well
240305134144P2_15h46m27s_H2_1W.tif,H2,DU145_w_NKcells,15,2358.69512195122,outer_well
240305134144P2_16h46m26s_H2_1W.tif,H2,DU145_w_NKcells,16,2564.8,outer_well
240305134144P2_17h46m27s_H2_1W.tif,H2,DU145_w_NKcells,17,2443.7179487179487,outer_well
240305134144P2_18h46m27s_H2_1W.tif,H2,DU145_w_NKcells,18,2740.3552631578946,outer_well
